t,Concentracion,EM*,rt,Ab
0,1,m05,a,"2,117"
0,1,m05,a,"2,343"
0,1,m05,b,"2,267"
0,1,m05,b,"2,22"
0,1,m05,c,"2,392"
0,1,m05,c,"2,463"
0,8,e1,a,"0,316"
0,8,e1,a,"0,308"
0,8,e1,b,"0,55"
0,8,e1,b,"0,367"
0,8,e1,c,"0,602"
0,8,e1,c,"0,778"
0,8,m05,a,"2,182"
0,8,m05,a,"2,135"
0,8,m05,b,"2,337"
0,8,m05,b,"2,291"
0,8,m05,c,"2,504"
0,8,m05,c,"2,511"
0,1,e1,a,"0,624"
0,1,e1,a,"0,294"
0,1,e1,b,"0,507"
0,1,e1,b,"0,388"
0,1,e1,c,"0,606"
0,1,e1,c,"0,547"
1,1,m05,a,"2,121"
1,1,m05,a,"2,334"
1,1,m05,b,"2,272"
1,1,m05,b,"2,234"
1,1,m05,c,"2,41"
1,1,m05,c,"2,501"
1,8,e1,a,"0,321"
1,8,e1,a,"0,301"
1,8,e1,b,"0,555"
1,8,e1,b,"0,365"
1,8,e1,c,"0,627"
1,8,e1,c,"0,781"
1,8,m05,a,"2,175"
1,8,m05,a,"2,133"
1,8,m05,b,"2,339"
1,8,m05,b,"2,311"
1,8,m05,c,"2,53"
1,8,m05,c,"2,532"
1,1,e1,a,"0,62"
1,1,e1,a,"0,289"
1,1,e1,b,"0,521"
1,1,e1,b,"0,38"
1,1,e1,c,"0,608"
1,1,e1,c,"0,545"
2,1,m05,a,"2,132"
2,1,m05,a,"2,327"
2,1,m05,b,"2,272"
2,1,m05,b,"2,232"
2,1,m05,c,"2,413"
2,1,m05,c,"2,482"
2,8,e1,a,"0,321"
2,8,e1,a,"0,286"
2,8,e1,b,"0,569"
2,8,e1,b,"0,364"
2,8,e1,c,"0,716"
2,8,e1,c,"0,753"
2,8,m05,a,"2,174"
2,8,m05,a,"2,133"
2,8,m05,b,"2,32"
2,8,m05,b,"2,292"
2,8,m05,c,"2,512"
2,8,m05,c,"2,521"
2,1,e1,a,"0,607"
2,1,e1,a,"0,294"
2,1,e1,b,"0,487"
2,1,e1,b,"0,37"
2,1,e1,c,"0,55"
2,1,e1,c,"0,477"
3,1,m05,a,"2,12"
3,1,m05,a,"2,333"
3,1,m05,b,"2,267"
3,1,m05,b,"2,221"
3,1,m05,c,"2,414"
3,1,m05,c,"2,48"
3,8,e1,a,"0,334"
3,8,e1,a,"0,283"
3,8,e1,b,"0,556"
3,8,e1,b,"0,368"
3,8,e1,c,"0,671"
3,8,e1,c,"0,713"
3,8,m05,a,"2,171"
3,8,m05,a,"2,126"
3,8,m05,b,"2,326"
3,8,m05,b,"2,281"
3,8,m05,c,"2,506"
3,8,m05,c,"2,527"
3,1,e1,a,"0,545"
3,1,e1,a,"0,267"
3,1,e1,b,"0,398"
3,1,e1,b,"0,327"
3,1,e1,c,"0,467"
3,1,e1,c,"0,384"
